Geneid,CTB_1st_717,CTB_1st_722,CTB_1st_732,EVT_1st_1026,EVT_1st_1087,EVT_1st_1089
ENSG00000223972.5,1,8,3,0,4,5
ENSG00000227232.5,64,204,184,165,110,113
ENSG00000278267.1,4,13,13,2,14,8
ENSG00000243485.5,1,0,1,0,0,0
ENSG00000284332.1,0,0,0,0,0,0
ENSG00000237613.2,0,0,0,0,0,0
ENSG00000268020.3,0,0,0,0,0,0
ENSG00000240361.1,0,0,0,0,0,0
ENSG00000186092.4,0,0,0,0,0,0
ENSG00000238009.6,0,1,0,1,0,1
ENSG00000239945.1,0,0,0,0,0,0
ENSG00000233750.3,0,0,0,0,0,0
ENSG00000268903.1,2,0,1,0,3,2
ENSG00000269981.1,0,0,0,0,3,1
ENSG00000239906.1,0,0,0,0,0,0
ENSG00000241860.6,2,13,8,13,9,5
ENSG00000222623.1,0,0,0,0,0,0
ENSG00000241599.1,0,0,0,0,0,0
ENSG00000279928.2,2,4,3,4,0,5
ENSG00000279457.4,179,270,349,144,153,232
ENSG00000273874.1,1,1,0,0,0,0
ENSG00000228463.9,3,7,3,12,1,10
ENSG00000241670.3,0,0,0,0,0,0
ENSG00000236679.2,0,4,0,0,2,0
ENSG00000236743.1,0,0,0,1,0,0
ENSG00000236601.2,1,1,1,0,1,0
ENSG00000237094.11,46,14,19,4,5,19
ENSG00000269732.1,0,0,0,0,0,0
ENSG00000278566.1,0,0,0,0,0,0
ENSG00000224813.3,0,0,0,0,0,0
ENSG00000233653.3,0,0,0,0,0,0
ENSG00000250575.1,1,0,0,0,0,0
ENSG00000278757.1,0,0,0,0,0,0
ENSG00000230021.8,5,6,9,8,4,1
ENSG00000235146.2,1,2,1,0,0,2
ENSG00000225972.1,12,34,26,12,43,23
ENSG00000225630.1,11,39,11,90,30,9
ENSG00000237973.1,1996,3921,2301,1090,1351,1381
ENSG00000278791.1,0,0,2,1,3,2
ENSG00000229344.1,373,1337,722,340,483,493
ENSG00000240409.1,0,0,1,0,0,0
ENSG00000248527.1,769,1468,1204,610,743,623
ENSG00000198744.5,745,1788,1101,399,521,574
ENSG00000268663.1,0,0,0,0,0,0
ENSG00000273547.1,0,0,0,0,0,0
ENSG00000283574.1,0,0,0,0,0,0
ENSG00000229376.3,0,0,0,0,0,0
ENSG00000228327.3,126,214,219,118,71,90
ENSG00000223181.1,6,3,2,0,1,0
ENSG00000229905.1,0,0,0,0,0,0
ENSG00000237491.8,38,44,44,26,13,8
ENSG00000230092.7,35,54,40,29,18,8
ENSG00000177757.2,0,2,0,0,0,0
ENSG00000228794.8,629,451,589,89,124,116
ENSG00000225880.5,35,62,31,19,10,15
ENSG00000230368.2,23,34,51,0,0,2
ENSG00000234711.1,0,0,0,0,0,0
ENSG00000283040.1,0,0,0,0,0,0
ENSG00000272438.1,0,0,0,0,0,0
ENSG00000230699.2,2,0,3,0,0,0
ENSG00000241180.1,0,0,0,0,0,0
ENSG00000223764.2,11,0,0,2,0,0
ENSG00000187634.11,27,3,1,16,19,13
ENSG00000188976.10,3223,3744,3440,2176,2100,1906
ENSG00000187961.13,187,215,192,321,269,256
ENSG00000187583.10,106,85,111,45,13,26
ENSG00000187642.9,1,1,0,0,1,0
ENSG00000272512.1,16,0,0,4,4,12
ENSG00000188290.10,21,18,7,44,62,45
ENSG00000187608.8,104,249,174,1537,1884,1205
ENSG00000231702.2,19,25,14,7,12,18
ENSG00000224969.1,1,0,0,1,2,3
ENSG00000188157.14,448,527,519,1907,1342,1735
ENSG00000242590.1,0,0,0,0,0,0
ENSG00000217801.9,3,1,0,24,28,10
ENSG00000273443.1,0,0,0,1,4,0
ENSG00000237330.2,21,54,43,195,379,420
ENSG00000131591.17,247,255,219,419,356,389
ENSG00000223823.1,0,0,0,0,0,0
ENSG00000207730.3,0,0,0,0,0,0
ENSG00000207607.3,0,0,0,0,0,0
ENSG00000198976.1,0,0,0,0,0,0
ENSG00000272141.1,0,0,0,1,0,0
ENSG00000205231.1,0,0,0,11,1,6
ENSG00000162571.13,0,2,0,20,14,25
ENSG00000186891.13,2,0,0,6,17,11
ENSG00000186827.10,1,2,0,8,6,6
ENSG00000078808.16,2055,2903,2714,5501,6240,5224
ENSG00000176022.4,142,265,197,308,337,353
ENSG00000184163.3,4,9,5,110,98,83
ENSG00000260179.1,1,4,7,5,0,0
ENSG00000160087.20,879,1131,1043,606,608,676
ENSG00000230415.1,2,0,1,7,1,6
ENSG00000162572.20,16,18,8,20,12,9
ENSG00000131584.18,1088,789,1111,1379,750,1036
ENSG00000278073.1,0,0,0,0,0,0
ENSG00000169972.11,324,435,411,276,203,244
