Geneid,CTB_1st_717,CTB_1st_722,CTB_1st_732,EVT_1st_1026,EVT_1st_1087,EVT_1st_1089
ENSG00000000003.16,617.255,827,679.008,538,612.195,438.999
ENSG00000000005.6,2,0,0,0,0,0
ENSG00000000419.14,1989.558,2030.213,2243.393,1035.932,986.999,964.391
ENSG00000000457.14,1192.783,1670.054,1197.001,350.004,351.001,418
ENSG00000000460.17,751.023,857.042,756.999,222.113,282.058,255.131
ENSG00000000938.13,4,1,0,29,25,22
ENSG00000000971.17,14.684,14.936,30.663,32.505,26.47,13.96
ENSG00000001036.14,1187.316,1485,1056,3056.305,2884.373,2884.379
ENSG00000001084.13,893.002,955.807,921.007,746.929,736.234,636.833
ENSG00000001167.15,1275.969,1547.1,1502,760,785.01,810
ENSG00000001460.18,152,226.624,219.006,120,165.001,161
ENSG00000001461.17,409,527,386,368,369.999,491.001
ENSG00000001497.18,1367,1662,1928.977,1297.018,948,1059.998
ENSG00000001561.7,38,56,33,36,20,26
ENSG00000001617.12,2470.497,1941.611,3342.045,77.008,49,252.001
ENSG00000001626.18,2,2,1,10,3,0
ENSG00000001629.10,2362.226,2529,2554.029,3996.751,3970.29,4053.257
ENSG00000001630.18,2964.099,2983.943,3605.877,1022.451,1083.662,1002.456
ENSG00000001631.17,1590.994,1804.501,2040.877,1351.852,1275.149,1246.342
ENSG00000002016.18,620.464,735.305,631.336,251.372,249,284.52
ENSG00000002079.14,0,0,0,0,3,0
ENSG00000002330.14,930,982.392,894.999,809.879,788.998,912.998
ENSG00000002549.13,1537.17,1436.001,1598.462,1250,2004.001,1355
ENSG00000002586.20,1708.272,1867.003,1025.365,1685.942,1285.051,1082.999
ENSG00000002587.10,0,38,21,943.177,1182.239,540
ENSG00000002726.21,28,935,22,72668.636,6916.554,76023.694
ENSG00000002745.13,3,0,0,1,3,0
ENSG00000002746.15,48.978,7,8,13,4.183,0
ENSG00000002822.16,734.761,935.141,1018.564,582.283,618.28,605.194
ENSG00000002834.19,2531.765,2304.527,1631.492,8413.674,6401.911,5689.958
ENSG00000002919.15,449.011,413.999,405.001,355.33,308,280
ENSG00000002933.9,11,0,0,19,27,14
ENSG00000003056.8,2917.444,2984.703,2758.59,2106.355,2452.536,2051.002
ENSG00000003096.15,117,0,0,5,1,3
ENSG00000003137.9,34,29,31,166,149,131
ENSG00000003147.19,29.001,25,25,49.001,43.999,11
ENSG00000003249.15,1,11,8,15,3,1
ENSG00000003393.16,1139.999,1309.311,1321,906.802,949.611,859.887
ENSG00000003400.16,106.095,80.335,87.52,128.11,103.12,95.998
ENSG00000003402.21,4607.925,4521.599,5338.59,3260.206,2340.139,2743.879
ENSG00000003436.16,2929.598,11117.764,4881.508,53898.098,70206.011,53211.38
ENSG00000003509.16,351,570,400.007,192.001,203.001,233
ENSG00000003756.17,5423.726,6215.181,6611.995,3795.338,3638.637,3397.981
ENSG00000003987.14,223.476,594,582,33,9,24
ENSG00000003989.18,6753.112,7999.894,11123.912,3663.69,1674.199,2747.001
ENSG00000004059.11,2189.967,2192.834,2249.896,1243.76,1214.479,1242.618
ENSG00000004139.14,61.049,37,55,81,45,42
ENSG00000004142.12,2256.735,2727,2448.972,1326.119,1300,1174.231
ENSG00000004399.13,2441.013,2573,2098.125,4224.291,2827.842,2674
ENSG00000004455.18,4494.025,5966.034,5558.849,1974.155,2346.004,2011.102
ENSG00000004468.13,6,7.001,4,10.003,11,11.997
ENSG00000004478.8,6459.075,7792.009,7409.091,1477.986,1458.948,1630.001
ENSG00000004487.18,4156.491,5751.812,4646.246,5937.526,6517.453,5455.062
ENSG00000004534.15,2459.011,2152.526,2589.136,2595.759,2192.001,2351.822
ENSG00000004660.15,112,28,53,26.944,25.001,23
ENSG00000004700.16,1065.756,1278.998,1017.071,1841.783,1893.686,1684.616
ENSG00000004766.17,970.525,976.297,885.001,1061.565,879.259,809.186
ENSG00000004776.13,17,0,0,0,0,0
ENSG00000004777.19,49,52,70,50.999,20,41
ENSG00000004779.10,1066,1354,1225,605.001,743,514.001
ENSG00000004799.8,820.296,771,793.999,122,152,95
ENSG00000004809.14,0,0,1,3,2,1
ENSG00000004838.14,2,2,2,7,3,1.007
ENSG00000004846.17,5,3,1,1,4.957,2
ENSG00000004848.8,0,4,0,25,28,20
ENSG00000004864.14,2399.49,2544.448,2628,1168.414,1135.509,1180
ENSG00000004866.22,1328.901,1713.601,1705.968,908.141,899.875,767.866
ENSG00000004897.12,3234.224,4255.958,3621.89,2369.016,2478.091,2465.999
ENSG00000004939.16,6,0,2,15,16,3
ENSG00000004948.16,19,12,9,3,3,0
ENSG00000004961.15,410,441.999,380.001,242.001,307,258.001
ENSG00000004975.12,1222.001,1100.997,1250,496.001,455.001,415
ENSG00000005001.10,334.001,133.999,301.001,577,377,549.999
ENSG00000005007.14,5106.953,6310.95,6163.625,2828.884,2272.023,2354.001
ENSG00000005020.13,452,528.11,408,775.004,800.207,739
ENSG00000005022.6,10552.033,10693.17,11076.141,1930.77,1646.703,2096.854
ENSG00000005059.16,1327.654,1705.999,1420.965,454.001,320.999,354.002
ENSG00000005073.6,128,6,0,6,0,0
ENSG00000005075.16,756.481,895.16,944.233,396.22,438.385,451.672
ENSG00000005100.13,521.999,692.999,610,370,327.001,226.001
ENSG00000005102.14,7,48,17,8,6,1
ENSG00000005108.17,1623.049,3065.001,2460.03,714,304.007,537
ENSG00000005156.12,3323.303,4046.352,3778.152,2598.794,2197.724,2317.359
ENSG00000005175.10,828.31,1067.158,860.999,479.883,486.899,448.999
ENSG00000005187.12,871.058,604,756.007,19,17,56
ENSG00000005189.20,169.999,242.999,250.999,62.999,72,68.001
ENSG00000005194.15,1776,1797,1489.001,610.153,627,617.995
ENSG00000005206.17,1736.242,1923.018,2694.503,1269.071,892.526,952.002
ENSG00000005238.20,134.001,215.999,136.026,988.001,615.076,683
ENSG00000005243.10,57.019,3,0,65,22,37
ENSG00000005249.14,18,28.003,10,88,60.237,49
ENSG00000005302.19,594.377,822,739.001,696.101,720.062,710.998
ENSG00000005339.15,2161.124,2100.031,3184.375,1525.925,958.982,1008.007
ENSG00000005379.17,55.999,14,7,149.001,100.002,109
ENSG00000005381.9,0,2,0,1,6,3
ENSG00000005421.9,3,2,0,0,2,0
ENSG00000005436.14,1154.06,1445.518,1341,456,404,359.999
ENSG00000005448.17,68,34,83,43,52,56
ENSG00000005469.12,3399.978,2996.971,2415,230,137,477.085
ENSG00000005471.19,61,92.001,61.999,16,17,23.994
ENSG00000005483.23,930.437,977,866,568.999,691.526,705.001
ENSG00000005486.17,456.478,537.334,627.615,449.159,368.044,428
ENSG00000005513.10,1,4,2,12,44,10
