Geneid,CTB_1st_717,CTB_1st_722,CTB_1st_732,CTB_1st_734,CTB_1st_738,CTB_1st_750,EVT_1st_1026,EVT_1st_1087,EVT_1st_1089,EVT_1st_1094,EVT_1st_1096,EVT_1st_1097
ENSG00000000003.16,617.255,827,679.008,605,928.549,507,538,612.195,438.999,395.001,579,693.999
ENSG00000000005.6,2,0,0,0,0,0,0,0,0,0,0,0
ENSG00000000419.14,1989.558,2030.213,2243.393,1913.981,2886.329,1893.065,1035.932,986.999,964.391,830.999,1239.054,1045.642
ENSG00000000457.14,1192.783,1670.054,1197.001,972.996,1129,1038.574,350.004,351.001,418,341,517.982,473
ENSG00000000460.17,751.023,857.042,756.999,620.954,882.411,496.001,222.113,282.058,255.131,242.785,302.812,337
ENSG00000000938.13,4,1,0,0,1,4,29,25,22,30,73,33
ENSG00000000971.17,14.684,14.936,30.663,18.649,11.376,11.477,32.505,26.47,13.96,30.895,26.867,17.482
ENSG00000001036.14,1187.316,1485,1056,1097,1380,903.001,3056.305,2884.373,2884.379,3139.611,3353.665,3665.999
ENSG00000001084.13,893.002,955.807,921.007,798.001,1185,703.995,746.929,736.234,636.833,484,918,940.485
ENSG00000001167.15,1275.969,1547.1,1502,1417,1284.986,1163.632,760,785.01,810,659,945,988
ENSG00000001460.18,152,226.624,219.006,215.999,303.005,155.999,120,165.001,161,121,157.999,151
ENSG00000001461.17,409,527,386,358.003,452.949,389.185,368,369.999,491.001,414,540,460
ENSG00000001497.18,1367,1662,1928.977,1663.099,2061.691,1216.11,1297.018,948,1059.998,826.002,1235.014,1187
ENSG00000001561.7,38,56,33,42,111,59,36,20,26,14,71,48
ENSG00000001617.12,2470.497,1941.611,3342.045,1860,2287.655,2050.597,77.008,49,252.001,229,269,274
ENSG00000001626.18,2,2,1,0,3,1,10,3,0,7,0,7
ENSG00000001629.10,2362.226,2529,2554.029,2097.602,2790.016,2102.112,3996.751,3970.29,4053.257,3470.762,4984.388,4416.181
ENSG00000001630.18,2964.099,2983.943,3605.877,2928.045,4368.846,2628.81,1022.451,1083.662,1002.456,573.533,1342.279,1169.901
ENSG00000001631.17,1590.994,1804.501,2040.877,1712.467,2194.614,1604.254,1351.852,1275.149,1246.342,898.3,1263.365,1403.92
ENSG00000002016.18,620.464,735.305,631.336,479.895,670.262,637.999,251.372,249,284.52,210.115,207,247
ENSG00000002079.14,0,0,0,0,0,2,0,3,0,0,1,1
ENSG00000002330.14,930,982.392,894.999,693,1142.999,618,809.879,788.998,912.998,824.411,1433.062,1346.245
ENSG00000002549.13,1537.17,1436.001,1598.462,1338,1949.716,1099.309,1250,2004.001,1355,922.002,1977,2108.999
ENSG00000002586.20,1708.272,1867.003,1025.365,790.032,1021.001,1499.001,1685.942,1285.051,1082.999,1762.999,934,614.001
ENSG00000002587.10,0,38,21,18,24,57,943.177,1182.239,540,304,560,1108.005
ENSG00000002726.21,28,935,22,20,8,203,72668.636,6916.554,76023.694,161040.441,83861.963,38554.601
ENSG00000002745.13,3,0,0,0,0,1,1,3,0,1,0,0
ENSG00000002746.15,48.978,7,8,5.992,8.126,5.002,13,4.183,0,2,1,5
