"logFC"	"logCPM"	"PValue"	"FDR"
"ENSG00000189159.15"	3.23369565454959	8.08134993860341	1.541661885543e-253	1.59084089969183e-249
"ENSG00000177879.15"	2.49668347170142	6.18090402145278	3.97224951653397e-235	2.0494821380557e-231
"ENSG00000012232.8"	3.23911286381615	7.86987426131027	2.6675044545665e-217	9.17532615555725e-214
"ENSG00000097033.14"	1.82934759009141	7.10276670219708	9.89991045255296e-202	2.55392939899735e-198
"ENSG00000107957.16"	2.78210704054293	7.43766814573629	1.02499976325359e-200	2.11539451140276e-197
"ENSG00000136052.9"	4.0119894341854	5.67341480720643	3.80476840698682e-194	6.5435675319495e-191
"ENSG00000113719.15"	2.59286094918858	7.24125658989283	1.05840671977999e-186	1.56024270591567e-183
"ENSG00000136603.13"	2.38572159125964	7.42176064702534	1.35976057863491e-186	1.7539211763667e-183
"ENSG00000174705.12"	2.60587294566119	8.31645738635149	2.95748123974311e-185	3.3909165458788e-182
"ENSG00000128595.16"	2.68813613295554	9.50307510070089	4.42763157648961e-183	4.56887302377963e-180
"ENSG00000150093.18"	2.64791137551746	10.67932718787	2.8004792584277e-180	2.62710413342868e-177
"ENSG00000075420.12"	2.40054169031615	9.04832558052068	8.28612562139497e-178	7.12537752393122e-175
"ENSG00000135480.15"	2.01628985562432	10.7582224147289	1.06023112549525e-171	8.4157884492196e-169
"ENSG00000162434.11"	4.02092900668222	8.29283658033781	9.92603807131577e-171	7.31619906127911e-168
"ENSG00000100934.14"	2.61443484077626	7.02877940212782	7.10997164935082e-170	4.8911864966434e-167
"ENSG00000154822.17"	3.61851871421846	7.26790443991055	4.9161310693152e-168	3.17059728151647e-165
"ENSG00000163110.14"	4.30638065454009	7.9374431967184	5.27727637186601e-168	3.20330675772267e-165
"ENSG00000142949.16"	3.33846238048659	11.3656021641607	8.33445623751253e-168	4.77795855082732e-165
"ENSG00000135404.11"	2.49626042368392	8.68237257815536	1.88284901682582e-165	1.02258521076977e-162
"ENSG00000187079.16"	2.29678798642354	9.24956487935376	2.73321705501663e-164	1.41020333953583e-161
"ENSG00000071073.12"	3.99472661923823	7.66410272029298	4.13444085585858e-161	2.03158548531451e-158
"ENSG00000156299.13"	2.06755443830391	7.35759237842374	1.24763397205412e-160	5.85197043528477e-158
"ENSG00000115415.18"	2.51455589442102	7.40383373020421	2.49185661176239e-160	1.11797688594679e-157
