Sample	Total	Assigned	Unassigned_Unmapped	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_Nonjunction	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
CTB_1stE_717	40209052	26927226	0	0	0	0	0	5135767	0	0	4680479	0	3465580	66.96806977692485
CTB_1stE_722	45762392	29932635	0	0	0	0	0	6749400	0	0	5708172	0	3372185	65.40880773889617
CTB_1stE_732	48530869	29925429	0	0	0	0	0	6821490	0	0	8824163	0	2959787	61.66266876449297
CTB_1stE_734	38694333	24164359	0	0	0	0	0	5225152	0	0	6932153	0	2372669	62.449348849093745
CTB_1stE_738	47986788	31362835	0	0	0	0	0	5414408	0	0	7975285	0	3234260	65.3572291606598
CTB_1stE_750	40819885	23307473	0	0	0	0	0	6115746	0	0	8940193	0	2456473	57.09833087476851
CTB_1stE_761	37406928	22701295	0	0	0	0	0	4225912	0	0	8340875	0	2138846	60.687407958226345
CTB_1stE_770	40171919	24342939	0	0	0	0	0	4702743	0	0	8903535	0	2222702	60.59690352357825
CTB_1stE_771	47424079	30381950	0	0	0	0	0	5419932	0	0	8586926	0	3035271	64.06439648516948
CTB_1stE_772	43282660	26294640	0	0	0	0	0	6707165	0	0	7335278	0	2945577	60.75097972259561
EVT_1st_1026	41027909	27073605	0	0	0	0	0	4936414	0	0	6686603	0	2331287	65.98826423252522
EVT_1st_1087	40473736	26547274	0	0	0	0	0	5731718	0	0	5523437	0	2671307	65.591360283617
EVT_1st_1089	41854297	26803217	0	0	0	0	0	7649830	0	0	4508759	0	2892491	64.03934343945616
EVT_1st_1094	37550839	23981218	0	0	0	0	0	6274623	0	0	4212135	0	3082863	63.86333471803386
EVT_1st_1096	52592167	34501590	0	0	0	0	0	8787623	0	0	5507564	0	3795390	65.6021456579266
EVT_1st_1097	49641919	32507811	0	0	0	0	0	8121586	0	0	5639748	0	3372774	65.48459780533464
EVT_1st_1099	44419187	27090343	0	0	0	0	0	8052879	0	0	5457026	0	3818939	60.98793073362644
EVT_1st_951	46950235	28144533	0	0	0	0	0	10392152	0	0	4648943	0	3764607	59.945457142014305
EVT_1st_970	61169549	39323311	0	0	0	0	0	10055859	0	0	8298179	0	3492200	64.28576251232455
EVT_1st_977	41383498	28134135	0	0	0	0	0	5590546	0	0	4879582	0	2779235	67.98394616134189
