Sample	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	Salmon_mqc-generalstats-salmon-percent_mapped	Salmon_mqc-generalstats-salmon-num_mapped	Snippy_mqc-generalstats-snippy-VariantTotal
CTB_1stE_717	66.96806977692485	26927226	86.19	35073285.0			
CTB_1stE_717_R1					80.20204745616104	32637742	
CTB_1stE_717_quant					80.20204745616104	32637742	
CTB_1stE_722	65.40880773889617	29932635	80.81	39012992.0			
CTB_1stE_722_R1					73.37583244082612	35422222	
CTB_1stE_722_quant					73.37582622643625	35422219	
CTB_1stE_732	61.66266876449297	29925429	87.21	41709379.0			
CTB_1stE_732_R1					72.33569967849053	34595020	
CTB_1stE_732_quant					72.33569967849053	34595020	
CTB_1stE_734	62.449348849093745	24164359	82.32	33469181.0			
CTB_1stE_734_R1					69.61546196029401	28303589	
CTB_1stE_734_quant					69.61548655627793	28303599	
CTB_1stE_738	65.3572291606598	31362835	84.74	42572380.0			
CTB_1stE_738_R1					72.59740598131891	36471230	
CTB_1stE_738_quant					72.59740598131891	36471230	
CTB_1stE_750	57.09833087476851	23307473	74.62	34704139.0			
CTB_1stE_750_R1					59.27249331240978	27564772	
CTB_1stE_750_quant					59.272516965695445	27564783	
CTB_1stE_761	60.687407958226345	22701295	81.12	33181016.0			
CTB_1stE_761_R1					64.49298827749224	26380902	
CTB_1stE_761_quant					64.49298094343806	26380899	
CTB_1stE_770	60.59690352357825	24342939	84.51	35469176.0			
CTB_1stE_770_R1					67.42767891839011	28300415	
CTB_1stE_770_quant					67.4276908312329	28300420	
CTB_1stE_771	64.06439648516948	30381950	84.32	42004147.0			
CTB_1stE_771_R1					71.9358033983541	35836639	
CTB_1stE_771_quant					71.93579737637724	35836636	
CTB_1stE_772	60.75097972259561	26294640	83.95	36575495.0			
CTB_1stE_772_R1					71.33468370589313	31078550	
CTB_1stE_772_quant					71.33471124952705	31078562	
EVT_1st_1026	65.98826423252522	27073605	85.69	36091495.0			
EVT_1st_1026_S32_R1					75.44084371455713	31776133	
EVT_1st_1026_S32_quant					75.44083659215079	31776130	
EVT_1st_1087	65.591360283617	26547274	82.54	34742018.0			
EVT_1st_1087_S64_R1					74.86162550006732	31508946	
EVT_1st_1087_S64_quant					74.86162550006732	31508946	
EVT_1st_1089	64.03934343945616	26803217	81.43	34204467.0			
EVT_1st_1089_S69_R1					75.84309760056739	31858757	
EVT_1st_1089_S69_quant					75.84309760056739	31858757	
EVT_1st_1094	63.86333471803386	23981218	79.23	31276216.0			
EVT_1st_1094_S38_R1					73.75882026352083	29118184	
EVT_1st_1094_S38_quant					73.75882279660533	29118185	
EVT_1st_1096	65.6021456579266	34501590	80.57	43804544.0			
EVT_1st_1096_S70_R1					76.10782407946407	41379999	
EVT_1st_1096_S70_quant					76.10782775794769	41380001	
EVT_1st_1097	65.48459780533464	32507811	81.12	41520333.0			
EVT_1st_1097_S54_R1					76.3490329437143	39077653	
EVT_1st_1097_S54_quant					76.34904075882368	39077657	
EVT_1st_1099	60.98793073362644	27090343	80.19	36366308.0			
EVT_1st_1099_S73_R1					77.27386615529683	35041751	
EVT_1st_1099_S73_quant					77.27386615529683	35041751	
EVT_1st_951	59.945457142014305	28144533	81.56	36558083.0			
EVT_1st_951_S80_R1					76.16387013852184	34140943	
EVT_1st_951_S80_quant					76.16387013852184	34140943	
EVT_1st_970	64.28576251232455	39323311	80.62	51113690.0			
EVT_1st_970_S41_R1					72.30368642962532	45842138	
EVT_1st_970_S41_quant					72.30371639703309	45842157	
EVT_1st_977	67.98394616134189	28134135	84.74	35792952.0			
EVT_1st_977_S67_R1					79.26396406105461	33479399	
EVT_1st_977_S67_quant					79.26397116368786	33479402	
salmon_quant_output_test					80.20204745616104	32637742	
slurm-28028238_3							0
