Sample	salmon_version	samp_type	opt_type	quant_errors	num_libraries	library_types	frag_dist_length	frag_length_mean	frag_length_sd	seq_bias_correct	gc_bias_correct	num_bias_bins	mapping_type	keep_duplicates	num_valid_targets	num_decoy_targets	num_eq_classes	serialized_eq_classes	eq_class_properties	length_classes	index_seq_hash	index_name_hash	index_seq_hash512	index_name_hash512	index_decoy_seq_hash	index_decoy_name_hash	num_bootstraps	num_processed	num_mapped	num_decoy_fragments	num_dovetail_fragments	num_fragments_filtered_vm	num_alignments_below_threshold_for_mapped_fragments_vm	percent_mapped	call	start_time	end_time
CTB_1stE_717_R1	1.9.0	none	vb	[]	1	['ISR']	1001	249.88489664293826	91.72779153644647	False	True	4096	mapping	False	251955	0	596448	False	['range_factorized', 'gzipped']	[550, 775, 1403, 2654, 347561]	fd88296600b98e1333273e657145662fd489a41f40296d387ab4265db2dc0f1c	e3f718f453cd3a749c2862a2c0a86ab6baf50529a5b73bf9cbfb95df31847542	373e06811ade1419f3640c476fbb8fd1e75b4eae2e43c189fb2f9da3b6f011d44cbf5027d9e48337a60fd2d6ec1d016fa9f23fce4bc01bf60690e81577d4c3de	df3e5b8133dc55ad4af4a9faab6bf34a031d3b8284b8f7e19526088a033cce1ddda1ebef5731fe4b094842ed48536b0095739af8b4ced3fcfc897be0bdda5e23	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	40694400	32637742	0	7410343	3657164	74198095	80.20204745616104	quant	Thu Jan 11 17:30:17 2024	Thu Jan 11 17:36:14 2024
CTB_1stE_717_quant	1.9.0	none	vb	[]	1	['ISR']	1001	249.80191892074023	91.59740140398186	False	True	4096	mapping	False	251955	0	596501	False	['range_factorized', 'gzipped']	[550, 775, 1403, 2654, 347561]	fd88296600b98e1333273e657145662fd489a41f40296d387ab4265db2dc0f1c	170c7e69f391b4cfb69861ab118f08db89f9ef29192fbcb7b5d7a6b5f7f911f5	373e06811ade1419f3640c476fbb8fd1e75b4eae2e43c189fb2f9da3b6f011d44cbf5027d9e48337a60fd2d6ec1d016fa9f23fce4bc01bf60690e81577d4c3de	3b3f86753660ef6b94157f5dc0aad17e060448483611f957c2812378d8587f5d78c3cd02ad421e7e7566b7222d8e9b4e4dfa10421405b9aee43d699446122830	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	40694400	32637742	0	7410343	3657164	74198095	80.20204745616104	quant	Tue Jan 16 23:41:08 2024	Tue Jan 16 23:48:27 2024
CTB_1stE_722_R1	1.9.0	none	vb	[]	1	['ISR']	1001	248.2552868238587	92.4505143602233	False	True	4096	mapping	False	251955	0	617560	False	['range_factorized', 'gzipped']	[550, 775, 1403, 2654, 347561]	fd88296600b98e1333273e657145662fd489a41f40296d387ab4265db2dc0f1c	e3f718f453cd3a749c2862a2c0a86ab6baf50529a5b73bf9cbfb95df31847542	373e06811ade1419f3640c476fbb8fd1e75b4eae2e43c189fb2f9da3b6f011d44cbf5027d9e48337a60fd2d6ec1d016fa9f23fce4bc01bf60690e81577d4c3de	df3e5b8133dc55ad4af4a9faab6bf34a031d3b8284b8f7e19526088a033cce1ddda1ebef5731fe4b094842ed48536b0095739af8b4ced3fcfc897be0bdda5e23	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	48275053	35422222	0	11426266	6440914	114981969	73.37583244082612	quant	Thu Jan 11 17:36:15 2024	Thu Jan 11 17:43:15 2024
CTB_1stE_722_quant	1.9.0	none	vb	[]	1	['ISR']	1001	248.23807890196167	92.34895273736093	False	True	4096	mapping	False	251955	0	617309	False	['range_factorized', 'gzipped']	[550, 775, 1403, 2654, 347561]	fd88296600b98e1333273e657145662fd489a41f40296d387ab4265db2dc0f1c	170c7e69f391b4cfb69861ab118f08db89f9ef29192fbcb7b5d7a6b5f7f911f5	373e06811ade1419f3640c476fbb8fd1e75b4eae2e43c189fb2f9da3b6f011d44cbf5027d9e48337a60fd2d6ec1d016fa9f23fce4bc01bf60690e81577d4c3de	3b3f86753660ef6b94157f5dc0aad17e060448483611f957c2812378d8587f5d78c3cd02ad421e7e7566b7222d8e9b4e4dfa10421405b9aee43d699446122830	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	48275053	35422219	0	11426266	6440914	114981969	73.37582622643625	quant	Tue Jan 16 23:48:29 2024	Tue Jan 16 23:56:54 2024
CTB_1stE_732_R1	1.9.0	none	vb	[]	1	['ISR']	1001	254.2887410022029	92.09158478817835	False	True	4096	mapping	False	251955	0	610132	False	['range_factorized', 'gzipped']	[550, 775, 1403, 2654, 347561]	fd88296600b98e1333273e657145662fd489a41f40296d387ab4265db2dc0f1c	e3f718f453cd3a749c2862a2c0a86ab6baf50529a5b73bf9cbfb95df31847542	373e06811ade1419f3640c476fbb8fd1e75b4eae2e43c189fb2f9da3b6f011d44cbf5027d9e48337a60fd2d6ec1d016fa9f23fce4bc01bf60690e81577d4c3de	df3e5b8133dc55ad4af4a9faab6bf34a031d3b8284b8f7e19526088a033cce1ddda1ebef5731fe4b094842ed48536b0095739af8b4ced3fcfc897be0bdda5e23	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	47825652	34595020	0	7394268	5258765	120043640	72.33569967849053	quant	Thu Jan 11 17:43:17 2024	Thu Jan 11 17:51:06 2024
CTB_1stE_732_quant	1.9.0	none	vb	[]	1	['ISR']	1001	254.3674655621997	92.11383335378395	False	True	4096	mapping	False	251955	0	610340	False	['range_factorized', 'gzipped']	[550, 775, 1403, 2654, 347561]	fd88296600b98e1333273e657145662fd489a41f40296d387ab4265db2dc0f1c	170c7e69f391b4cfb69861ab118f08db89f9ef29192fbcb7b5d7a6b5f7f911f5	373e06811ade1419f3640c476fbb8fd1e75b4eae2e43c189fb2f9da3b6f011d44cbf5027d9e48337a60fd2d6ec1d016fa9f23fce4bc01bf60690e81577d4c3de	3b3f86753660ef6b94157f5dc0aad17e060448483611f957c2812378d8587f5d78c3cd02ad421e7e7566b7222d8e9b4e4dfa10421405b9aee43d699446122830	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	47825652	34595020	0	7394268	5258765	120043640	72.33569967849053	quant	Tue Jan 16 23:56:56 2024	Wed Jan 17 00:07:08 2024
CTB_1stE_734_R1	1.9.0	none	vb	[]	1	['ISR']	1001	239.94460057398484	85.58182628935006	False	True	4096	mapping	False	251955	0	579417	False	['range_factorized', 'gzipped']	[550, 775, 1403, 2654, 347561]	fd88296600b98e1333273e657145662fd489a41f40296d387ab4265db2dc0f1c	e3f718f453cd3a749c2862a2c0a86ab6baf50529a5b73bf9cbfb95df31847542	373e06811ade1419f3640c476fbb8fd1e75b4eae2e43c189fb2f9da3b6f011d44cbf5027d9e48337a60fd2d6ec1d016fa9f23fce4bc01bf60690e81577d4c3de	df3e5b8133dc55ad4af4a9faab6bf34a031d3b8284b8f7e19526088a033cce1ddda1ebef5731fe4b094842ed48536b0095739af8b4ced3fcfc897be0bdda5e23	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	40657044	28303589	0	9533336	5558032	118436975	69.61546196029401	quant	Thu Jan 11 17:51:07 2024	Thu Jan 11 17:57:48 2024
CTB_1stE_734_quant	1.9.0	none	vb	[]	1	['ISR']	1001	239.94894323922438	85.55205375717797	False	True	4096	mapping	False	251955	0	579570	False	['range_factorized', 'gzipped']	[550, 775, 1403, 2654, 347561]	fd88296600b98e1333273e657145662fd489a41f40296d387ab4265db2dc0f1c	170c7e69f391b4cfb69861ab118f08db89f9ef29192fbcb7b5d7a6b5f7f911f5	373e06811ade1419f3640c476fbb8fd1e75b4eae2e43c189fb2f9da3b6f011d44cbf5027d9e48337a60fd2d6ec1d016fa9f23fce4bc01bf60690e81577d4c3de	3b3f86753660ef6b94157f5dc0aad17e060448483611f957c2812378d8587f5d78c3cd02ad421e7e7566b7222d8e9b4e4dfa10421405b9aee43d699446122830	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	40657044	28303599	0	9533336	5558032	118436975	69.61548655627793	quant	Wed Jan 17 00:07:13 2024	Wed Jan 17 00:15:31 2024
CTB_1stE_738_R1	1.9.0	none	vb	[]	1	['ISR']	1001	254.5687765694849	94.92842047556796	False	True	4096	mapping	False	251955	0	613953	False	['range_factorized', 'gzipped']	[550, 775, 1403, 2654, 347561]	fd88296600b98e1333273e657145662fd489a41f40296d387ab4265db2dc0f1c	e3f718f453cd3a749c2862a2c0a86ab6baf50529a5b73bf9cbfb95df31847542	373e06811ade1419f3640c476fbb8fd1e75b4eae2e43c189fb2f9da3b6f011d44cbf5027d9e48337a60fd2d6ec1d016fa9f23fce4bc01bf60690e81577d4c3de	df3e5b8133dc55ad4af4a9faab6bf34a031d3b8284b8f7e19526088a033cce1ddda1ebef5731fe4b094842ed48536b0095739af8b4ced3fcfc897be0bdda5e23	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	50237649	36471230	0	9868486	6299433	126137806	72.59740598131891	quant	Thu Jan 11 17:57:49 2024	Thu Jan 11 18:05:16 2024
CTB_1stE_738_quant	1.9.0	none	vb	[]	1	['ISR']	1001	254.68195843073897	94.95287763498523	False	True	4096	mapping	False	251955	0	614356	False	['range_factorized', 'gzipped']	[550, 775, 1403, 2654, 347561]	fd88296600b98e1333273e657145662fd489a41f40296d387ab4265db2dc0f1c	170c7e69f391b4cfb69861ab118f08db89f9ef29192fbcb7b5d7a6b5f7f911f5	373e06811ade1419f3640c476fbb8fd1e75b4eae2e43c189fb2f9da3b6f011d44cbf5027d9e48337a60fd2d6ec1d016fa9f23fce4bc01bf60690e81577d4c3de	3b3f86753660ef6b94157f5dc0aad17e060448483611f957c2812378d8587f5d78c3cd02ad421e7e7566b7222d8e9b4e4dfa10421405b9aee43d699446122830	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	50237649	36471230	0	9868486	6299433	126137806	72.59740598131891	quant	Wed Jan 17 00:15:33 2024	Wed Jan 17 00:25:20 2024
