Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
CTB_1stE_717	40694400.0	302.0	35073285.0	86.19	296.36	31731772.0	31355075.0	31416695.0	233392.0	32476.0	49209.0	0.15	0.01	2.03	0.01	1.72	1913236.0	4.7	32508.0	0.08	0.0	8.99	0.04	0	3659090	16281
CTB_1stE_722	48275053.0	302.0	39012992.0	80.81	293.92	35732714.0	35353459.0	35369925.0	261046.0	37152.0	64591.0	0.15	0.01	1.97	0.01	1.67	2277208.0	4.72	45978.0	0.1	0.0	14.28	0.09	0	6895416	43459
CTB_1stE_732	47825652.0	302.0	41709379.0	87.21	296.78	35057501.0	34647809.0	34701598.0	260910.0	36959.0	58034.0	0.15	0.01	1.99	0.01	1.71	1997271.0	4.18	33411.0	0.07	0.0	8.51	0.03	0	4071239	14352
CTB_1stE_734	40657044.0	302.0	33469181.0	82.32	293.82	28641515.0	28295482.0	28347372.0	212780.0	29513.0	51850.0	0.15	0.01	2.07	0.01	1.73	1678199.0	4.13	36609.0	0.09	0.0	13.42	0.04	0	5456790	16265
CTB_1stE_738	50237649.0	302.0	42572380.0	84.74	295.33	37165998.0	36705028.0	36783488.0	276103.0	39366.0	67041.0	0.15	0.01	1.98	0.01	1.76	1959156.0	3.9	37536.0	0.07	0.0	11.24	0.04	0	5648476	20101
CTB_1stE_750	46505167.0	302.0	34704139.0	74.62	290.3	25559489.0	25225222.0	25291218.0	190877.0	26021.0	51373.0	0.17	0.01	2.02	0.01	1.69	2013279.0	4.33	46763.0	0.1	0.0	20.89	0.06	0	9713088	27898
CTB_1stE_761	40905070.0	302.0	33181016.0	81.12	293.21	26209683.0	25859605.0	25937259.0	194912.0	28321.0	49191.0	0.16	0.01	1.95	0.01	1.71	1493877.0	3.65	31241.0	0.08	0.0	15.11	0.05	0	6178491	20445
CTB_1stE_770	41971510.0	302.0	35469176.0	84.51	295.18	28472598.0	28118843.0	28164763.0	213034.0	30648.0	64153.0	0.17	0.01	1.85	0.01	1.77	1590237.0	3.79	26831.0	0.06	0.0	11.59	0.05	0	4864281	20985
CTB_1stE_771	49817528.0	302.0	42004147.0	84.32	295.47	35962749.0	35514485.0	35592269.0	265586.0	37223.0	67671.0	0.15	0.01	1.99	0.01	1.81	1975035.0	3.96	35655.0	0.07	0.0	11.6	0.05	0	5777787	24904
CTB_1stE_772	43567236.0	302.0	36575495.0	83.95	295.31	30964143.0	30541748.0	30637790.0	230671.0	31064.0	64618.0	0.15	0.01	2.03	0.01	1.73	2046490.0	4.7	33222.0	0.08	0.0	11.23	0.04	0	4894595	17434
EVT_1st_1026	42120596.0	302.0	36091495.0	85.69	296.65	33137752.0	32788744.0	32860662.0	208835.0	22392.0	45863.0	0.17	0.01	1.98	0.01	1.81	1850479.0	4.39	23551.0	0.06	0.0	9.81	0.05	0	4134001	21070
EVT_1st_1087	42089583.0	302.0	34742018.0	82.54	295.06	32061751.0	31740888.0	31779811.0	217538.0	22986.0	41416.0	0.16	0.01	1.92	0.01	1.82	2062817.0	4.9	36352.0	0.09	0.0	12.4	0.07	0	5218934	29462
EVT_1st_1089	42006139.0	302.0	34204467.0	81.43	293.47	33041527.0	32718637.0	32773176.0	207603.0	21887.0	38861.0	0.15	0.01	1.92	0.01	1.77	2370656.0	5.64	33006.0	0.08	0.0	12.8	0.05	0	5377006	21004
EVT_1st_1094	39477562.0	302.0	31276216.0	79.23	292.29	30192061.0	29917193.0	29966330.0	173381.0	18453.0	33897.0	0.17	0.01	1.98	0.01	1.83	2224769.0	5.64	30489.0	0.08	0.0	15.01	0.05	0	5926347	19741
EVT_1st_1096	54370230.0	302.0	43804544.0	80.57	293.39	43259103.0	42825963.0	42917896.0	262836.0	28140.0	50231.0	0.16	0.01	1.95	0.01	1.93	3120281.0	5.74	40114.0	0.07	0.0	13.55	0.07	0	7367232	38059
EVT_1st_1097	51182905.0	302.0	41520333.0	81.12	293.83	40232530.0	39836439.0	39900890.0	256224.0	26264.0	49152.0	0.16	0.01	1.93	0.01	1.81	2972132.0	5.81	37385.0	0.07	0.0	12.94	0.06	0	6622349	30706
EVT_1st_1099	45347480.0	302.0	36366308.0	80.19	296.38	32953411.0	32633633.0	32685004.0	204881.0	19216.0	44310.0	0.18	0.01	1.92	0.01	1.84	2717217.0	5.99	29311.0	0.06	0.0	13.62	0.12	0	6180193	54451
EVT_1st_951	44825641.0	302.0	36558083.0	81.56	294.89	36246431.0	35952934.0	36003453.0	185801.0	17270.0	39907.0	0.16	0.01	1.95	0.01	2.03	3052494.0	6.81	40813.0	0.09	0.0	11.49	0.05	0	5151832	22419
EVT_1st_970	63402214.0	302.0	51113690.0	80.62	293.82	47576271.0	47081467.0	47160069.0	322383.0	33364.0	60455.0	0.17	0.01	1.99	0.01	1.82	3341318.0	5.27	57905.0	0.09	0.0	13.94	0.08	0	8838577	50724
EVT_1st_977	42237856.0	302.0	35792952.0	84.74	295.64	35464195.0	35124340.0	35180821.0	219220.0	22208.0	41946.0	0.16	0.01	1.92	0.01	1.83	2155517.0	5.1	26947.0	0.06	0.0	10.04	0.05	0	4241318	21122
