"logFC"	"logCPM"	"PValue"	"FDR"
"ENSG00000189159.15"	3.23369565454959	8.08134994212116	1.54166188554318e-253	1.59084089969201e-249
"ENSG00000177879.15"	2.49668347170142	6.18090403216057	3.97224951653442e-235	2.04948213805594e-231
"ENSG00000012232.8"	3.23911286381615	7.86987426546936	2.66750445456574e-217	9.17532615555463e-214
"ENSG00000097033.14"	1.82934759009141	7.10276670642419	9.89991045255071e-202	2.55392939899677e-198
"ENSG00000107957.16"	2.78210704054293	7.43766815065652	1.0249997632512e-200	2.11539451139782e-197
"ENSG00000136052.9"	4.0119894341854	5.67341482514497	3.80476840698509e-194	6.54356753194653e-191
"ENSG00000113719.15"	2.59286094918858	7.24125659442144	1.05840671978023e-186	1.56024270591602e-183
"ENSG00000136603.13"	2.38572159125964	7.42176065086969	1.35976057863251e-186	1.7539211763636e-183
"ENSG00000174705.12"	2.60587294566119	8.31645738847929	2.95748123974496e-185	3.39091654588092e-182
"ENSG00000128595.16"	2.68813613295554	9.50307510169135	4.42763157649113e-183	4.56887302378119e-180
"ENSG00000150093.18"	2.64791137551746	10.6793271883353	2.80047925842707e-180	2.62710413342808e-177
"ENSG00000075420.12"	2.40054169031615	9.04832558192113	8.28612562139591e-178	7.12537752393203e-175
"ENSG00000135480.15"	2.01628985562432	10.7582224150807	1.06023112549603e-171	8.41578844922583e-169
"ENSG00000162434.11"	4.02092900668222	8.29283658313765	9.92603807131747e-171	7.31619906128036e-168
"ENSG00000100934.14"	2.61443484077626	7.02877940819276	7.10997164935163e-170	4.89118649664396e-167
"ENSG00000154822.17"	3.61851871421846	7.26790444568471	4.9161310693152e-168	3.17059728151647e-165
"ENSG00000163110.14"	4.30638065454009	7.93744320036834	5.27727637187082e-168	3.20330675772559e-165
"ENSG00000142949.16"	3.33846238048659	11.3656021644862	8.33445623751348e-168	4.77795855082787e-165
"ENSG00000135404.11"	2.49626042368392	8.68237257983302	1.88284901682592e-165	1.02258521076983e-162
"ENSG00000187079.16"	2.29678798642354	9.24956488049637	2.73321705501663e-164	1.41020333953583e-161
"ENSG00000071073.12"	3.99472661923823	7.66410272475287	4.13444085585387e-161	2.03158548531219e-158
"ENSG00000156299.13"	2.06755443830391	7.35759238226195	1.24763397205441e-160	5.8519704352861e-158
"ENSG00000115415.18"	2.51455589442102	7.4038337343249	2.49185661176295e-160	1.11797688594704e-157
"ENSG00000171345.13"	2.73526441350726	10.8196370933186	2.66414914268037e-159	1.12310565696879e-156
"ENSG00000263001.5"	-2.90089617837348	5.32643214664221	2.72096534782632e-159	1.12310565696879e-156
"ENSG00000125753.13"	2.7332056828908	8.10865484551115	4.00471447462341e-158	1.58940956398612e-155
"ENSG00000204084.12"	2.31037915253108	6.56657975625975	4.96324583183497e-157	1.89687902735945e-154
"ENSG00000118985.15"	3.17028244795944	6.02821948569915	5.56420506455533e-155	2.05060828789809e-152
"ENSG00000130304.16"	3.40716257180527	4.8374751458497	2.16027842761202e-151	7.68686658432014e-149
"ENSG00000122042.9"	2.53709572465479	6.94846009831142	1.27018449919677e-150	4.36901128240382e-148
"ENSG00000150961.14"	2.02025963261848	7.58339360826479	3.33856166865824e-149	1.1113102535124e-146
"ENSG00000168615.11"	2.78117076599344	8.65813485493804	2.76991075047651e-145	8.93209657317723e-143
"ENSG00000197905.8"	-3.57346106325691	4.86670910512952	7.73311509055974e-145	2.41812165513594e-142
"ENSG00000124496.12"	-3.96754390043815	3.52006310003865	8.74978207166271e-145	2.65555885874963e-142
"ENSG00000110446.10"	3.56260274345945	5.07442210203718	1.35817644267426e-144	4.00429220341591e-142
"ENSG00000108828.15"	3.56882650032501	6.37797043809424	4.71508560518861e-144	1.35152689888726e-141
"ENSG00000163251.3"	-2.38573388982542	5.81703433931687	3.88607851303764e-143	1.0837957885415e-140
"ENSG00000116016.13"	2.13724370766135	10.7935059548781	7.1390346245605e-142	1.93862363923263e-139
"ENSG00000221963.5"	2.50223601837903	7.63431943934812	1.04785395606441e-141	2.7725140955458e-139
"ENSG00000198380.12"	1.74355984863955	8.17817749561368	1.1388498412664e-141	2.93794787800701e-139
"ENSG00000109684.14"	7.50861911248726	2.87768547071439	6.6549282110191e-141	1.67493180998795e-138
"ENSG00000197496.5"	2.96463582686707	5.67163707713814	6.90383435601396e-141	1.69620635046924e-138
"ENSG00000124766.6"	2.88862099794451	7.7326911388681	8.49840038632005e-141	2.03941845549852e-138
