"Row.names"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"CTB_1st_717"	"CTB_1st_722"	"CTB_1st_732"	"CTB_1st_734"	"CTB_1st_738"	"CTB_1st_750"	"CTB_1st_761"	"CTB_1st_770"	"CTB_1st_771"	"CTB_1st_772"	"EVT_1st_1026"	"EVT_1st_1087"	"EVT_1st_1089"	"EVT_1st_1094"	"EVT_1st_1096"	"EVT_1st_1097"	"EVT_1st_1099"	"EVT_1st_951"	"EVT_1st_970"	"EVT_1st_977"
"2"	"ENSG00000000419.12"	0.633555743828138	5.41581019261451	10.6804133985547	5.52074517136487e-10	0.00000000235407311666587	12.559419984678	5.75326855390618	5.60951298115191	5.6336557677767	5.678282768778	5.95891772839974	5.66587175645035	5.95099034645408	5.81419151213708	5.60324832825035	5.65697895485725	5.09867215761504	5.18881583521602	5.08365404688598	5.19018020086178	5.18790052491872	5.03515390683897	4.956581067965	5.00233615274569	4.96901634094092	5.2789749201405
"3"	"ENSG00000000457.13"	1.02045978025395	4.52036451401357	9.97568611284174	0.0000000018620127672862	0.00000000699203411412895	11.44777854856	5.18391640934772	5.55406634784517	5.06211937516849	5.02662139559842	4.87449297009592	5.18044492928011	5.04384680177139	4.8425733135069	4.60919595948928	4.99048386552324	3.91391739364195	3.9326226005204	4.26360916878174	4.13347075907009	4.15944134052054	4.12615432781505	3.8689726690249	3.73800958825777	3.9979992763034	3.90533178870898
"4"	"ENSG00000000460.16"	0.997466774606804	4.01809309956425	12.1997034235559	4.81972467140809e-11	2.66245925504604e-10	15.3015511035175	4.61408991235889	4.6648914623749	4.54694769785353	4.43899182286819	4.59415755030492	4.31303407888706	4.72589751246045	4.60777258840205	4.4662215183634	4.23868323019409	3.28813598831275	3.67587445753404	3.45414842962147	3.77339291963298	3.44012645317602	3.60098974371758	3.57340429904271	3.15769345239298	3.64946921212179	3.53793966166524
"5"	"ENSG00000001036.13"	-1.95696426806303	6.06596509036882	-26.6877224142323	8.74339413888249e-18	9.39823792907587e-16	30.9019500873411	5.18887625966777	5.37366538263105	4.84420784067538	5.20270834292548	5.14441123392761	5.02884152971236	5.06344484141856	5.06135360629424	5.03389549952954	4.92712481656931	6.98955529911812	6.97631655241018	6.96624861071732	7.33078040466329	6.81752788396181	7.02326321894904	7.16316778602769	7.26413226298201	6.80573546026621	7.1140449749294
"6"	"ENSG00000001084.10"	-0.180796225050647	4.85886548828255	-3.08962153524154	0.00551802729859556	0.00760423660446148	-3.74916151980058	4.80385132945537	4.69005081459398	4.66983935067731	4.84858464277246	4.97296666712418	4.73363993919266	4.54254757455028	4.82618818518854	4.84116619383566	4.78119191773851	4.979482802405	5.01128811576905	4.80932384883506	4.70012934716609	4.95735174567847	5.08098268483719	4.90441549869251	4.89790262116659	5.0702304373866	5.05617604858559
"8"	"ENSG00000001461.16"	-0.594350176829019	3.90340367098951	-5.84571954942193	0.00000812800150800643	0.0000159910100211856	2.94471098092072	3.65139914805622	3.87625135574913	3.48669933199594	3.66806981668612	3.57625498125366	3.70891024488895	3.54147294132302	3.35828650618333	3.57637873497207	3.47749115117642	3.93441056550603	3.99025574336805	4.47319902185573	4.48777182873194	4.18996102758875	4.07083655942036	4.03255977737083	4.88675129963048	3.97919292939318	4.10192045464008
"10"	"ENSG00000001617.11"	3.62085476998347	4.35749364311587	11.5451965193537	1.3384440522496e-10	6.61782662921113e-10	14.4404543867195	6.28494182922244	5.86352211697219	6.572587808708	6.01246783742694	5.90443528545336	6.29818970947836	6.12894167552871	5.55853239785529	6.43150938159909	6.51773086838811	1.93237429834951	1.27664063647923	3.47174248963621	3.65674800078071	3.20498212443072	3.34012317456649	4.26470336332733	1.216772685147	1.83273780479871	1.38018937416903
"11"	"ENSG00000001629.9"	-1.34639696769381	6.77319096987335	-24.494478274309	5.08743760430492e-17	3.10634725673505e-15	29.1153372490141	6.1786278178308	6.1210748232249	6.13646398429559	6.14461461904035	6.1509994956322	6.1829611539833	6.00188153232845	6.00896396181406	6.03477959415891	6.04088090100498	7.40122265830769	7.41891166701212	7.45727971916162	7.48926497077196	7.40048988280353	7.28835358647817	7.58343028014803	7.70525754322419	7.18297092683267	7.53539027941342
"12"	"ENSG00000001631.15"	0.140014592168392	5.59285415269451	2.31843157617851	0.0305091979398967	0.0384635813734629	-5.44502352628504	5.54178647677694	5.49283336033739	5.69899354985405	5.69274841511397	5.81632893670285	5.58337936280509	5.79380701390336	5.70730826195296	5.6775865982848	5.63165140833827	5.61895395753181	5.68150876947642	5.61783154365946	5.66809297437472	5.46132187769051	5.45079340697816	5.19040575788891	5.36977730243712	5.57134868922149	5.59062539056197
"13"	"ENSG00000002016.17"	0.970712665517766	3.77481893410262	9.90467328244998	0.0000000021114072656216	0.0000000078485632470999	11.4985807537897	4.27010005494175	4.43680374911071	4.15649977778666	3.96994650634202	4.05225239550397	4.40950344939019	4.4145731854955	4.34339551607684	4.25990507017681	4.20854751222077	3.51189266038054	3.499978157778	3.58385285595775	3.46886787100706	2.81419217139855	3.12162466933454	3.10368536199721	3.33224990256694	3.40567777727066	3.13283003731601
