UniqueCount	AmbigCount
2	41
0	0
0	1134
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
7	11
0	2
5	8
0	6
0	0
0	7
7	0
0	108
0	8
0	25
733	22
2	21
10	149
10	8
0	0
6	23
0	0
0	0
0	0
26	1269
0	59
0	104
0	90
0	86
0	39
49	67
0	0
0	26
0	4
0	0
0	5
0	0
0	3
0	1
0	2
4	3
7	5
0	0
30	6
0	198
0	121
0	150
5	109
0	62
2	30
5	72
0	73
0	44
36	39
0	66
13	48
0	2
4	9
0	121
7	7
0	0
0	1
0	1
0	0
17	163
1	7
0	2
0	2
0	1
1	1
2	4
0	1
0	1
2	19
0	2
0	6
0	8
0	3
0	1
0	1
0	8
0	0
2	167
17	1514
2	32684
0	0
0	763
1	0
732	2218
1	3324
0	0
0	0
183	1055
39	38
0	0
0	0
0	29
0	16
0	16
0	16
0	15
0	11
1	21
6	11
0	11
0	10
0	12
1	10
0	15
0	15
0	15
0	46
0	42
7	5
0	12
9	12
0	2
0	0
0	0
0	5
0	5
0	8
0	5
0	5
0	0
0	10
4	12
1	14
18	14
0	0
14	6
0	5
0	0
85	15
0	0
0	205
0	221
128	500
79	248
1	719
65	83
0	410
0	526
23	26
0	256
0	511
0	260
0	444
10	13
0	201
7	212
0	21
0	216
0	259
1	266
0	227
1	40
7	150
0	186
1	203
0	251
1	359
0	353
0	407
0	207
0	197
0	215
0	229
0	52
0	254
0	400
0	201
1	48
0	14
0	171
0	46
0	186
7	8
2	0
0	0
19	14
1	5
5	6
0	0
0	0
0	0
2	0
0	0
2	1
0	0
0	1
0	3
0	3
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	3
0	2
0	0
0	0
0	0
0	0
402	3795
10	1131
91	3462
0	0
28	1008
31	34
193	65
31	20
24	45
17	0
56	110
1	82
9	107
0	3
0	25
0	6
0	6
0	6
0	5
2	0
0	9
2	9
10	2
1	2
0	122
0	44
62	122
0	0
0	0
0	680
0	619
0	582
0	643
0	3
0	32
0	24
0	1
3	13
10	141
0	3
0	14
0	14
0	3
0	14
0	14
0	14
6	14
0	14
0	9
0	6
0	0
0	0
122	0
0	196
1	170
5	213
0	206
36	158
1	182
28	201
0	28
2	148
1	76
0	55
0	56
0	20
0	8
0	4
0	17
0	9
1	9
1	2
3	8
0	0
0	0
0	0
0	0
0	0
2	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
32	2414
2	2164
1	1879
41	827
2	487
1	660
0	556
215	0
2	2
5	1
1	2
0	0
2	0
9	1
1	862
11	989
0	857
2	516
3	533
3	496
1	423
9	83
0	364
0	337
0	104
0	99
0	111
0	71
3	88
1	4
0	3
2	24
9	75
33	2
0	0
0	0
0	13
0	2
0	11
0	11
0	0
0	13
0	0
0	0
90	786
18	848
13	540
0	497
1	5
1	65
1	100
10	9
111	174
0	80
40	39
0	33
0	0
0	0
42	407
5	123
4	19
0	223
0	30
10	195
4	165
3	1011
0	1941
0	1942
0	1491
0	331
0	1680
0	2118
0	1494
61	1273
9	520
5	1254
0	1918
0	1489
0	1273
1	1676
0	1763
0	498
0	255
8	101
1	1368
0	256
0	439
0	431
1	251
0	279
0	544
0	8
6	131
0	645
9	365
1	307
0	489
2	362
0	360
0	14
4	1
0	198
0	521
4	316
19	163
0	222
0	217
1	110
0	116
0	89
0	111
0	6
0	2
0	3
0	0
13	0
9	120
257	171
2	53
6	0
