UniqueCount	AmbigCount
2	11
0	1
5	708
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
9	28
0	5
5	11
0	8
0	0
0	20
9	0
0	47
0	6
0	19
478	26
4	24
7	132
1	0
0	0
11	19
0	0
0	0
0	1
20	730
0	51
0	68
1	66
0	58
0	31
36	41
1	0
0	10
0	4
0	2
0	7
0	0
0	0
1	0
0	7
12	28
12	17
0	4
14	7
0	54
0	39
0	63
1	34
0	5
0	9
0	38
0	36
0	18
26	23
0	39
11	36
2	1
0	7
0	75
9	13
0	0
0	14
0	5
0	0
8	83
0	6
0	2
0	11
0	0
0	0
5	1
0	0
0	0
0	19
0	7
0	2
0	14
0	12
0	5
0	5
0	2
0	0
0	46
50	687
2	15950
0	0
0	238
1	0
320	1163
0	1057
0	0
0	0
105	634
15	25
0	0
0	0
0	16
0	5
0	4
0	4
0	2
0	2
0	11
6	4
0	2
0	2
0	12
0	2
0	2
0	4
0	1
0	22
0	16
1	2
0	6
0	6
0	9
0	0
1	0
0	0
0	0
0	1
0	0
0	2
0	0
0	2
1	16
0	6
0	6
0	0
9	4
0	4
0	0
62	11
0	0
0	33
0	33
18	53
10	59
0	110
30	44
0	54
0	52
5	1
0	33
0	50
0	34
0	53
2	0
0	33
0	27
0	1
0	30
0	33
0	34
0	33
0	13
3	24
0	26
0	26
0	34
0	46
0	48
0	49
0	29
0	33
0	33
0	35
0	16
0	34
0	50
0	31
0	16
0	4
0	49
0	13
0	26
0	0
0	0
1	0
2	3
0	2
1	0
0	0
0	0
0	0
1	0
0	0
2	0
0	0
0	0
0	14
0	14
0	0
0	14
0	7
0	7
0	7
0	7
0	3
0	14
0	5
0	0
0	2
0	0
1	0
253	1744
8	614
62	1629
0	0
21	449
24	14
159	39
41	10
27	29
4	6
11	32
2	28
2	32
0	1
0	2
0	0
0	0
0	0
0	0
3	0
2	9
9	9
15	3
7	3
0	1040
2	470
505	1036
0	0
0	0
0	1934
0	1771
0	1681
0	1844
1	19
3	78
4	36
0	1
0	30
30	449
0	8
0	29
0	28
0	17
0	27
0	28
0	28
3	27
0	27
1	10
0	18
1	0
1	2
198	1
0	261
0	227
0	260
0	263
37	204
1	239
32	271
0	30
0	155
0	81
1	71
0	73
1	26
6	12
0	5
0	18
0	8
4	9
0	3
2	5
0	0
0	0
0	0
0	0
1	0
14	0
0	18
0	18
1	0
0	0
0	7
0	4
0	0
0	0
0	4
0	6
0	2
0	5
0	2
0	7
0	4
0	7
0	7
0	7
0	2
0	4
0	2
0	2
0	4
0	6
0	2
0	1
68	5438
1	4802
0	4130
41	1929
6	1084
0	1460
0	1228
328	0
3	37
4	24
33	43
3	8
6	9
6	0
0	429
11	503
0	436
1	258
1	283
0	261
0	212
5	44
0	173
3	161
0	49
0	36
0	41
0	34
6	46
1	0
0	4
0	22
8	39
19	2
0	0
2	0
0	12
0	10
1	13
0	13
0	0
0	10
0	0
0	2
123	803
5	817
17	524
0	522
4	9
2	73
2	130
2	8
101	217
0	115
77	78
1	45
0	0
0	0
32	207
3	52
2	14
0	108
6	7
12	103
0	100
3	574
0	1015
0	1012
0	740
1	223
1	835
0	1102
0	740
73	598
14	310
1	610
0	996
0	733
0	628
0	829
0	884
0	178
0	94
2	43
1	621
0	91
0	167
0	179
1	92
0	149
0	306
1	8
4	42
0	338
2	182
0	171
0	261
2	221
2	223
1	4
0	4
0	148
0	320
1	217
27	139
2	164
0	133
0	81
1	84
0	54
0	55
0	5
0	8
4	10
0	0
22	1
8	75
193	102
4	28
5	0
17	2123
40	2015
0	342
0	503
9	115
1	87
20	127
0	0
0	3400
11	4828
11	5281
23	3728
58	5061
2	1091
1	563
31	947
1	21
0	11
5	704
4	693
55	696
22	694
9	34
0	5
0	0
0	1938
28	2497
4	1979
35	1378
20	3999
2	2531
11	3160
0	3361
2	1009
2	1557
7	297
11	332
6	352
19	444
0	888
36	58
10	208
24	14
12	111
0	117
1	112
2	115
0	119
0	104
0	116
0	97
0	102
0	111
0	7
0	100
0	112
0	115
0	35
200	567
3	262
59	413
24	4
21	307
2	128
0	1
12	22
0	3
0	3
0	3
0	1
0	0
0	0
0	0
3	4
3	0
0	4
0	4
1	321
4	1240
299	1559
9	75
6	39
0	0
1	0
25	654
0	450
164	626
0	76
56	349
55	187
6	2
0	0
0	0
2	773
21	589
0	704
0	608
5	704
2	16
0	89
0	112
0	0
4	0
268	1052
11	817
0	235
613	74
0	7
25	9
8	0
151	0
2	0
111	0
42	769
1	752
0	797
0	800
0	640
3	732
0	754
71	80
0	58
1	763
0	24
0	600
2	79
0	4
0	73
0	783
4	541
0	42
0	677
3	575
11	12
10	18
3	593
5	89
15	15
0	45
9	120
0	134
1	170
4	82
0	54
1	50
0	0
0	6
0	1
0	5
0	3
0	3
0	0
0	0
0	0
4	0
0	990
0	933
0	840
0	823
1	780
0	713
0	713
0	713
0	154
0	0
1	217
5	1679
0	1664
21	678
27	232
0	0
0	0
0	5
57	753
0	668
2	184
1	500
1	595
0	494
0	627
0	669
0	625
0	569
21	21
3	110
4	49
0	9
9	126
0	12
0	28
5	104
7	104
10	107
15	31
4	12
10	7
101	579
0	1
4	1
1	0
0	0
9	204
9	27
5	188
0	105
0	987
5	967
4	826
6	466
3	3
0	133
0	74
0	35
4	110
3	33
1	38
1	68
6	177
8	123
5	117
7	54
0	0
1	4669
3	5362
6	5650
1	4890
1	4687
4	5454
0	4508
0	4273
0	5448
2	4683
0	2525
0	4785
0	5442
5	5363
0	5359
1	5225
0	5143
6	4479
3	4870
0	4237
1	4741
7	4675
0	3241
1	2836
85	757
13	1578
0	990
2	504
0	14
3	72
5	0
0	1
0	1
0	0
0	1
0	0
0	2
0	2
6	0
0	0
0	15
0	12
0	0
0	2
0	4
0	0
0	6
0	0
0	6
0	0
0	0
7	9
0	1
0	0
10	13
0	0
0	0
0	0
0	3
0	3
0	3
0	0
0	0
0	3
0	0
0	3
0	3
0	3
0	0
0	3
0	3
0	3
4	4
0	0
0	0
0	0
0	0
0	0
0	0
56	1704
1	158
4	8
0	34
3	34
2	11
1	1638
1	122
2	1485
3	256
0	378
1	263
0	382
17	304
5	329
0	428
1	308
24	197
20	138
6	185
0	14
0	1364
16	283
4	977
16	886
0	52
4	1
1	0
0	0
1	53
0	53
1	89
2	102
1	70
49	72
0	74
0	117
0	101
19	103
3	94
0	31
0	87
1	1
0	0
0	0
0	72
1224	106
12	0
0	32
13	32
0	23
8	23
0	20
0	15
0	20
0	1
9	6
0	5
13	10
0	11
18	0
0	1
0	0
0	0
2	0
0	0
3	0
6	1451
0	205
20	2145
0	791
5	27
5	1378
1	684
210	1219
0	358
5	241
0	260
0	206
0	187
2	50
0	15
1	3
0	1
0	4
0	0
0	4
0	4
0	4
0	1
0	1
0	0
0	0
0	0
0	0
13	334
0	291
2	219
2	40
8	14
12	2
5	3
1	32
1	70
15	18
1	0
2	11
2	0
0	4
0	4
0	0
0	0
3	4
0	0
6	3
0	1
0	20
1	21
4	21
0	21
0	20
2	49
0	26
0	21
0	27
1	20
10	39
0	40
0	3
0	8
0	0
2	1
0	0
0	0
0	0
0	4
0	7
0	27
0	27
0	31
1	29
0	3
0	34
0	7
0	1
0	0
0	1
0	28
0	0
0	27
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	42
0	0
0	83
7	92
0	42
0	31
0	0
0	60
0	15
1	0
0	0
0	0
0	0
0	0
0	0
0	0
1035	3810
37	3808
41	3750
39	701
19	160
1	347
436	2408
6	0
12	1611
0	1669
19	981
18	63
3	926
1	75
4	63
7	8
0	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
120	514
0	514
16	153
25	153
28	10
2	64
1	35
0	17
0	5
0	73
0	46
0	8
0	44
0	35
0	18
0	37
0	35
0	11
0	13
0	14
0	18
0	44
0	11
4	1
0	20
0	6
2	0
0	0
2	30
0	12
0	100
0	98
0	116
13	239
0	69
1	7
0	151
0	3
0	152
3	167
0	184
0	176
0	70
0	106
0	106
0	105
0	114
0	142
0	105
1	19
0	37
0	8
2	120
0	112
3	27
0	97
0	11
0	0
0	1
0	0
0	0
3	51
0	25
4	47
4	8
864	126
5	122
1	24
0	0
5	0
5	1119
1	1354
0	1418
0	1404
0	1175
3	1356
10	1349
13	1283
0	1153
0	1324
1	1199
0	1320
0	1396
2	1240
4	1247
0	1190
0	40
1	1000
0	392
4	976
0	68
0	101
0	622
0	346
2	172
6	86
0	33
1	939
0	849
3	915
10	935
0	935
0	957
0	933
1	915
3	43
2	133
3	609
27	604
0	700
0	603
1	587
0	576
0	565
1	576
3	592
2	342
0	25
0	1
0	1
0	1
1	5
1	5
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
11	7
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	3
2	3
0	0
0	6
0	6
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	16
1	15
0	84
3	102
0	101
0	73
0	3
0	5
6	3
0	62
1	4
0	12
0	12
0	102
0	98
0	102
0	0
0	1
0	0
1	0
0	1
0	9
0	0
0	7
0	83
0	12
0	1
0	18
0	99
0	3
0	101
0	6
0	96
0	12
0	12
0	27
0	97
0	107
0	6
0	6
0	89
4	3
0	0
0	98
0	102
0	21
0	33
0	7
1	0
0	95
0	5
0	40
3	64
1	3
0	0
0	3
0	86
0	68
0	87
1	10
0	0
0	4
0	4
0	7
0	0
0	1184
3167	4030
109	3902
0	3819
0	2394
1	1889
0	1190
1	1185
4	0
35	13
42	188
0	16
46	19
46	155
0	0
0	0
5	42
1	8
779	2115
0	12
26	2099
15	779
12	16
2	5
0	16
0	0
23	0
0	335
13	335
3	316
3	316
20	316
0	275
0	275
0	164
1	0
6	0
11	5
1	7
0	4
819	118
0	102
10	22
0	19
16	15
0	0
0	0
0	10
0	0
0	0
0	4
0	0
0	0
0	4
0	0
0	0
0	0
0	2
0	0
0	0
0	0
3	216
0	279
0	265
127	354
0	244
0	262
0	263
0	196
0	137
0	66
0	181
0	81
0	54
0	153
5	120
1	4
5	98
1	104
0	83
10	88
0	17
57	1993
41	2910
1	3144
0	3148
0	3144
1	2753
3	3153
5	3143
7	3148
0	3000
43	3207
26	3208
0	3207
0	3206
0	3124
3	2040
4	2700
11	682
13	111
4	320
1	133
2	159
7	3
0	228
0	229
1	142
0	148
0	136
1	0
1021	195
4	146
13	29
4	17
0	16
0	0
0	0
0	0
0	0
0	0
0	0
3	190
3	73
14	65
0	42
21	106
6	47
0	49
0	37
3	1368
141	1268
0	301
0	270
0	142
519	64
0	60
46	83
13	1
4	70
4	20
0	52
0	58
6	39
6	6
0	367
0	1377
0	1328
1	826
4	961
1	1086
0	1076
0	1179
0	1137
11	585
0	864
0	1085
1	1224
5	673
1	834
1	285
0	155
66	339
4	138
0	339
0	43
0	235
0	210
8	209
0	100
0	0
0	0
0	0
0	0
0	0
0	0
11	5
0	0
2	126
6	88
7	96
0	87
42	224
0	79
0	30
1	9
9	111
1	58
0	111
0	62
0	52
1	112
0	53
0	39
1	52
2	39
0	52
7	3
0	3
0	3
0	6
0	6
0	7
0	1
0	0
0	3
0	3
0	4
0	3
1	6
0	6
0	4
0	3
0	4
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
3239	454
102	442
15	91
21	0
0	58
0	4
0	58
0	55
0	51
0	0
0	0
0	0
0	1
2	0
0	0
0	0
0	0
11	1
0	0
0	0
0	1
0	0
0	950
22	106
27	1411
1	698
67	1400
20	395
1	1351
0	1124
16	345
3	503
0	0
1	0
5	0
2	0
0	55
1145	834
75	703
2	423
6	226
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	2
0	0
0	0
0	0
4	1162
8	1166
0	856
0	771
0	28
0	518
0	480
0	26
32	553
22	19
1	61
2	6
2	5
0	56
13	366
1	59
35	358
2	6
0	39
2	13
0	117
18	46
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	30040
98	23691
12	25406
3	26555
